"Date","Price","Open","High","Low","Vol.","Change %"
"Sep 18, 2021","713,667","698,633","720,441","695,724","-","2.14%"
"Sep 17, 2021","698,737","697,742","703,456","688,937","-","0.14%"
"Sep 16, 2021","697,751","692,858","702,641","682,501","-","0.62%"
"Sep 15, 2021","693,438","674,627","700,697","670,767","-","2.81%"
"Sep 14, 2021","674,496","636,019","675,934","632,668","-","6.08%"
"Sep 13, 2021","635,817","653,657","660,719","617,069","-","-2.80%"
"Sep 12, 2021","654,103","641,692","658,846","635,867","-","1.94%"
"Sep 11, 2021","641,663","637,171","653,239","635,810","-","0.66%"
"Sep 10, 2021","637,476","658,977","667,520","629,218","-","-3.20%"
"Sep 09, 2021","658,541","653,486","670,332","647,055","-","0.74%"
"Sep 08, 2021","653,693","669,766","676,436","637,878","-","-2.31%"
"Sep 07, 2021","669,150","749,872","752,579","617,594","-","-10.69%"
"Sep 06, 2021","749,268","740,689","750,531","726,787","-","1.17%"
"Sep 05, 2021","740,599","714,591","741,337","708,679","-","3.65%"
"Sep 04, 2021","714,523","715,704","723,411","708,693","-","-0.18%"
"Sep 03, 2021","715,778","711,350","729,068","697,133","-","0.52%"
"Sep 02, 2021","712,066","702,520","723,665","699,443","-","1.29%"
"Sep 01, 2021","703,010","683,913","703,939","675,827","-","2.73%"
"Aug 31, 2021","684,353","688,296","701,574","679,242","-","-0.77%"
"Aug 30, 2021","689,695","717,520","719,545","687,298","-","-3.94%"
"Aug 29, 2021","717,996","719,912","730,603","704,185","-","-0.23%"
"Aug 28, 2021","719,631","722,355","725,605","713,457","-","-0.33%"
"Aug 27, 2021","722,000","699,332","722,893","692,258","-","3.12%"
"Aug 26, 2021","700,138","732,532","737,505","691,372","-","-4.43%"
"Aug 25, 2021","732,559","715,627","736,762","704,253","-","2.26%"
"Aug 24, 2021","716,336","749,283","754,092","714,587","-","-4.50%"
"Aug 23, 2021","750,069","754,500","769,973","741,530","-","-0.61%"
"Aug 22, 2021","754,649","747,355","757,690","736,842","-","0.92%"
"Aug 21, 2021","747,760","754,819","760,587","738,732","-","-0.90%"
"Aug 20, 2021","754,526","712,181","754,915","710,095","-","5.96%"
"Aug 19, 2021","712,102","670,287","714,752","661,027","-","6.27%"
"Aug 18, 2021","670,083","666,095","686,455","660,281","-","0.60%"
"Aug 17, 2021","666,106","681,250","699,477","663,830","-","-2.32%"
"Aug 16, 2021","681,947","691,384","707,976","677,889","-","-1.39%"
"Aug 15, 2021","691,528","693,397","697,277","671,547","-","-0.25%"
"Aug 14, 2021","693,241","704,003","708,217","679,515","-","-1.53%"
"Aug 13, 2021","703,980","656,476","704,382","654,070","-","7.26%"
"Aug 12, 2021","656,303","667,217","677,751","647,068","-","-1.64%"
"Aug 11, 2021","667,246","674,606","690,586","667,246","-","-1.13%"
"Aug 10, 2021","674,862","684,374","689,690","661,314","-","-1.51%"
"Aug 09, 2021","685,188","642,731","686,100","628,411","-","6.67%"
"Aug 08, 2021","642,373","652,216","662,533","633,815","-","-1.50%"
"Aug 07, 2021","652,162","625,918","653,850","622,248","-","4.12%"
"Aug 06, 2021","626,344","592,969","634,500","579,885","-","5.63%"
"Aug 05, 2021","592,986","570,812","603,326","538,335","-","3.88%"
"Aug 04, 2021","570,848","547,014","573,970","535,283","-","4.57%"
"Aug 03, 2021","545,897","566,219","574,694","539,723","-","-3.69%"
"Aug 02, 2021","566,822","582,298","590,833","560,205","-","-2.94%"
"Aug 01, 2021","583,995","604,381","620,485","578,292","-","-3.48%"
"Jul 31, 2021","605,072","615,047","615,058","598,514","-","-1.77%"
"Jul 30, 2021","615,973","582,926","615,973","557,490","-","5.80%"
"Jul 29, 2021","582,226","589,112","594,979","573,514","-","-1.24%"
"Jul 28, 2021","589,508","583,484","603,998","576,336","-","1.07%"
"Jul 27, 2021","583,283","550,861","583,283","538,758","-","5.80%"
"Jul 26, 2021","551,321","524,935","598,771","523,117","-","5.15%"
"Jul 25, 2021","524,331","510,776","524,657","503,121","-","4.39%"
"Jul 24, 2021","502,297","499,044","503,957","496,299","-","0.74%"
"Jul 23, 2021","498,607","475,129","498,607","473,891","-","4.94%"
"Jul 22, 2021","475,136","468,239","478,815","460,989","-","1.56%"
"Jul 21, 2021","467,849","436,057","477,217","432,241","-","7.33%"
"Jul 20, 2021","435,900","449,033","451,710","425,818","-","-2.83%"
"Jul 19, 2021","448,573","457,650","461,074","442,803","-","-1.99%"
"Jul 18, 2021","457,703","455,884","468,908","451,946","-","0.41%"
"Jul 17, 2021","455,812","454,140","461,877","451,598","-","0.26%"
"Jul 16, 2021","454,643","463,962","466,579","446,970","-","-1.77%"
"Jul 15, 2021","462,851","475,660","481,427","455,016","-","-2.67%"
"Jul 14, 2021","475,553","482,376","483,236","466,115","-","-1.36%"
"Jul 13, 2021","482,086","476,582","486,022","471,539","-","1.02%"
"Jul 12, 2021","477,241","488,393","495,122","470,262","-","-2.21%"
"Jul 11, 2021","488,016","474,770","492,096","472,026","-","2.82%"
"Jul 10, 2021","474,653","478,824","484,829","468,535","-","-0.96%"
"Jul 09, 2021","479,232","470,399","483,066","462,608","-","1.89%"
"Jul 08, 2021","470,363","483,517","485,502","461,960","-","-2.87%"
"Jul 07, 2021","484,253","491,808","500,855","483,560","-","-1.54%"
"Jul 06, 2021","491,838","480,275","498,529","480,061","-","2.45%"
"Jul 05, 2021","480,099","501,649","501,649","472,979","-","-4.48%"
"Jul 04, 2021","502,640","494,906","513,337","494,906","-","1.56%"
"Jul 03, 2021","494,906","481,702","496,808","475,305","-","2.68%"
"Jul 02, 2021","482,000","484,315","490,587","470,698","-","-0.53%"
"Jul 01, 2021","484,558","499,963","499,963","473,348","-","-3.09%"
"Jun 30, 2021","499,995","514,959","517,507","487,238","-","-2.86%"
"Jun 29, 2021","514,693","491,692","525,423","488,745","-","4.83%"
"Jun 28, 2021","490,995","490,676","501,621","484,159","-","0.22%"
"Jun 27, 2021","489,940","456,324","490,423","453,844","-","7.65%"
"Jun 26, 2021","455,114","447,525","462,461","427,926","-","1.61%"
"Jun 25, 2021","447,894","492,323","503,506","444,053","-","-9.06%"
"Jun 24, 2021","492,518","478,136","499,708","460,414","-","2.92%"
"Jun 23, 2021","478,551","463,321","492,842","452,467","-","3.36%"
"Jun 22, 2021","463,008","450,940","473,144","414,560","-","2.62%"
"Jun 21, 2021","451,187","510,493","511,839","444,803","-","-11.74%"
"Jun 20, 2021","511,220","509,836","518,338","479,165","-","0.11%"
"Jun 19, 2021","510,643","513,314","522,041","500,364","-","-0.46%"
"Jun 18, 2021","513,007","537,041","538,140","503,896","-","-4.39%"
"Jun 17, 2021","536,573","537,423","557,286","528,829","-","-0.09%"
"Jun 16, 2021","537,058","552,868","557,460","528,508","-","-2.89%"
"Jun 15, 2021","553,043","558,153","570,687","545,107","-","-0.95%"
"Jun 14, 2021","558,342","535,456","562,750","532,231","-","4.04%"
"Jun 13, 2021","536,654","486,511","539,261","477,726","-","10.19%"
"Jun 12, 2021","487,032","511,769","513,512","476,294","-","-4.80%"
"Jun 11, 2021","511,612","499,169","513,875","489,142","-","2.69%"
"Jun 10, 2021","498,192","513,428","522,425","486,689","-","-2.80%"
"Jun 09, 2021","512,546","453,000","515,354","440,576","-","12.96%"
"Jun 08, 2021","453,759","453,374","460,724","422,929","-","-0.13%"
"Jun 07, 2021","454,355","480,190","495,189","452,008","-","-5.54%"
"Jun 06, 2021","480,996","477,301","489,609","473,471","-","0.75%"
"Jun 05, 2021","477,422","495,079","509,180","468,278","-","-3.60%"
"Jun 04, 2021","495,226","534,818","534,818","486,900","-","-7.23%"
"Jun 03, 2021","533,835","507,699","534,768","502,783","-","5.17%"
"Jun 02, 2021","507,608","504,955","519,702","494,825","-","0.55%"
"Jun 01, 2021","504,812","511,812","519,265","491,912","-","-1.35%"
"May 31, 2021","511,743","491,378","514,587","471,708","-","4.14%"
"May 30, 2021","491,390","476,399","501,044","460,689","-","3.22%"
"May 29, 2021","476,068","491,383","512,823","463,835","-","-3.09%"
"May 28, 2021","491,267","530,338","534,867","479,095","-","-6.98%"
"May 27, 2021","528,152","539,558","554,357","512,019","-","-2.13%"
"May 26, 2021","539,666","531,649","563,886","522,729","-","1.39%"
"May 25, 2021","532,284","539,749","553,198","505,631","-","-1.14%"
"May 24, 2021","538,406","484,749","554,724","480,846","-","11.27%"
"May 23, 2021","483,868","522,490","533,736","435,576","-","-7.46%"
"May 22, 2021","522,890","520,266","541,052","493,137","-","0.62%"
"May 21, 2021","519,647","566,740","588,116","469,233","-","-8.84%"
"May 20, 2021","570,019","517,276","594,939","493,382","-","9.47%"
"May 19, 2021","520,710","601,207","609,719","426,771","-","-13.32%"
"May 18, 2021","600,748","614,578","643,034","592,322","-","-2.11%"
"May 17, 2021","613,686","656,647","657,948","595,577","-","-6.48%"
"May 16, 2021","656,183","660,138","702,945","620,542","-","-0.72%"
"May 15, 2021","660,936","703,974","715,296","659,245","-","-6.18%"
"May 14, 2021","704,451","702,241","726,711","688,494","-","0.20%"
"May 13, 2021","703,032","694,424","723,072","652,518","-","1.04%"
"May 12, 2021","695,778","792,832","814,053","695,778","-","-12.23%"
"May 11, 2021","792,772","783,877","796,566","766,904","-","1.12%"
"May 10, 2021","783,955","820,453","836,739","751,319","-","-4.17%"
"May 09, 2021","818,067","826,657","832,559","793,518","-","-0.95%"
"May 08, 2021","825,897","805,781","835,926","800,986","-","2.48%"
"May 07, 2021","805,909","800,458","825,516","785,195","-","0.69%"
"May 06, 2021","800,395","825,333","832,416","785,645","-","-2.87%"
"May 05, 2021","824,023","781,909","832,485","780,903","-","5.39%"
"May 04, 2021","781,882","823,852","823,852","781,710","-","-4.98%"
"May 03, 2021","822,856","818,739","850,946","814,753","-","0.44%"
"May 02, 2021","819,280","837,900","838,796","813,522","-","-2.23%"
"May 01, 2021","837,971","836,651","847,360","826,662","-","0.00%"
"Apr 30, 2021","837,962","765,592","839,531","758,575","-","9.46%"
"Apr 29, 2021","765,532","780,711","784,899","748,759","-","-1.86%"
"Apr 28, 2021","780,009","791,543","802,998","770,292","-","-1.37%"
"Apr 27, 2021","790,865","769,912","796,037","760,986","-","2.58%"
"Apr 26, 2021","770,956","702,786","775,157","696,859","-","10.27%"
"Apr 25, 2021","699,143","715,095","721,289","672,467","-","-2.18%"
"Apr 24, 2021","714,694","729,916","730,609","696,131","-","-2.03%"
"Apr 23, 2021","729,484","739,180","745,263","681,448","-","-1.49%"
"Apr 22, 2021","740,530","767,322","791,182","724,577","-","-3.49%"
"Apr 21, 2021","767,308","807,925","811,062","764,649","-","-4.99%"
"Apr 20, 2021","807,567","792,163","815,994","758,924","-","1.91%"
"Apr 19, 2021","792,434","805,093","818,955","772,989","-","-1.45%"
"Apr 18, 2021","804,077","859,451","863,916","738,807","-","-6.47%"
"Apr 17, 2021","859,667","877,906","894,565","853,719","-","-2.13%"
"Apr 16, 2021","878,341","896,633","900,410","857,941","-","-1.93%"
"Apr 15, 2021","895,643","908,691","913,413","884,668","-","-1.20%"
"Apr 14, 2021","906,497","923,938","938,499","884,352","-","-1.73%"
"Apr 13, 2021","922,425","872,276","926,974","871,482","-","5.75%"
"Apr 12, 2021","872,245","877,937","896,159","870,151","-","-0.40%"
"Apr 11, 2021","875,706","872,095","885,828","865,296","-","0.41%"
"Apr 10, 2021","872,099","848,805","894,824","845,568","-","2.77%"
"Apr 09, 2021","848,587","843,187","857,244","841,004","-","0.60%"
"Apr 08, 2021","843,518","815,872","843,518","812,158","-","3.57%"
"Apr 07, 2021","814,449","841,426","850,772","809,506","-","-3.19%"
"Apr 06, 2021","841,250","860,999","865,564","834,203","-","-2.02%"
"Apr 05, 2021","858,581","852,493","861,982","832,491","-","0.60%"
"Apr 04, 2021","853,429","836,293","856,894","827,587","-","2.11%"
"Apr 03, 2021","835,801","864,431","876,120","833,935","-","-3.34%"
"Apr 02, 2021","864,709","859,555","879,529","855,142","-","0.66%"
"Apr 01, 2021","859,007","868,485","876,926","849,896","-","-1.05%"
"Mar 31, 2021","868,095","876,048","893,112","845,785","-","-0.86%"
"Mar 30, 2021","875,666","860,350","887,021","850,208","-","1.80%"
"Mar 29, 2021","860,145","836,151","876,927","826,362","-","2.88%"
"Mar 28, 2021","836,048","836,384","845,602","820,109","-","-0.01%"
"Mar 27, 2021","836,172","823,900","846,448","808,668","-","1.40%"
"Mar 26, 2021","824,638","769,763","824,638","769,763","-","6.92%"
"Mar 25, 2021","771,288","784,098","794,436","754,607","-","-1.84%"
"Mar 24, 2021","785,776","808,843","847,484","775,205","-","-3.17%"
"Mar 23, 2021","811,518","796,759","825,204","785,391","-","1.67%"
"Mar 22, 2021","798,197","851,394","861,296","791,068","-","-6.16%"
"Mar 21, 2021","850,638","854,620","867,337","818,036","-","-0.38%"
"Mar 20, 2021","853,883","854,721","880,723","851,365","-","-0.11%"
"Mar 19, 2021","854,788","849,574","875,107","829,871","-","0.56%"
"Mar 18, 2021","850,055","865,501","887,382","844,349","-","-1.39%"
"Mar 17, 2021","862,021","846,599","863,504","809,181","-","1.89%"
"Mar 16, 2021","846,043","827,668","846,043","793,053","-","2.02%"
"Mar 15, 2021","829,327","884,469","905,942","822,601","-","-6.18%"
"Mar 14, 2021","883,979","915,362","922,424","883,979","-","-3.56%"
"Mar 13, 2021","916,645","856,525","924,740","839,389","-","7.05%"
"Mar 12, 2021","856,275","858,586","862,017","824,079","-","0.03%"
"Mar 11, 2021","856,005","841,986","862,525","812,580","-","1.33%"
"Mar 10, 2021","844,780","839,516","863,545","813,499","-","0.75%"
"Mar 09, 2021","838,510","814,307","843,526","807,191","-","3.32%"
"Mar 08, 2021","811,541","781,732","813,534","761,597","-","3.59%"
"Mar 07, 2021","783,431","751,794","789,478","751,794","-","4.23%"
"Mar 06, 2021","751,633","750,402","756,448","724,761","-","0.05%"
"Mar 05, 2021","751,225","739,682","758,879","710,554","-","1.45%"
"Mar 04, 2021","740,488","760,555","781,009","727,005","-","-2.73%"
"Mar 03, 2021","761,263","722,974","782,382","719,010","-","5.34%"
"Mar 02, 2021","722,683","743,682","752,479","703,068","-","-2.85%"
"Mar 01, 2021","743,867","680,189","746,778","677,329","-","9.77%"
"Feb 28, 2021","677,667","696,830","703,554","650,905","-","-2.86%"
"Feb 27, 2021","697,591","700,020","730,588","680,416","-","-0.31%"
"Feb 26, 2021","699,726","706,783","734,351","660,473","-","-0.69%"
"Feb 25, 2021","704,556","721,038","768,561","704,556","-","-2.19%"
"Feb 24, 2021","720,336","711,876","747,123","684,637","-","1.24%"
"Feb 23, 2021","711,518","793,582","793,582","659,347","-","-10.44%"
"Feb 22, 2021","794,478","843,580","844,214","720,131","-","-5.79%"
"Feb 21, 2021","843,326","821,573","857,187","815,432","-","2.48%"
"Feb 20, 2021","822,942","821,183","845,237","796,057","-","0.23%"
"Feb 19, 2021","821,093","753,603","826,449","743,128","-","9.09%"
"Feb 18, 2021","752,686","763,829","768,306","743,168","-","-1.38%"
"Feb 17, 2021","763,248","722,220","769,386","721,204","-","5.82%"
"Feb 16, 2021","721,279","692,479","732,608","679,477","-","4.14%"
"Feb 15, 2021","692,623","706,889","710,982","663,650","-","-2.13%"
"Feb 14, 2021","707,679","686,150","723,181","684,462","-","3.23%"
"Feb 13, 2021","685,539","688,977","699,449","673,175","-","-0.67%"
"Feb 12, 2021","690,149","702,109","716,144","676,522","-","-1.71%"
"Feb 11, 2021","702,156","661,901","710,577","650,086","-","6.04%"
"Feb 10, 2021","662,183","683,912","696,181","644,754","-","-3.25%"
"Feb 09, 2021","684,446","688,849","713,701","666,123","-","-0.70%"
"Feb 08, 2021","689,273","579,133","694,448","566,307","-","18.87%"
"Feb 07, 2021","579,848","582,008","588,980","554,745","-","-0.54%"
"Feb 06, 2021","583,003","568,385","607,279","568,263","-","2.56%"
"Feb 05, 2021","568,433","554,271","572,380","549,560","-","2.52%"
"Feb 04, 2021","554,474","562,382","578,988","548,693","-","-1.35%"
"Feb 03, 2021","562,068","530,624","562,068","530,360","-","5.88%"
"Feb 02, 2021","530,842","504,135","538,918","502,864","-","5.15%"
"Feb 01, 2021","504,859","502,658","523,942","490,165","-","0.47%"
"Jan 31, 2021","502,493","519,562","520,563","487,880","-","-3.18%"
"Jan 30, 2021","518,978","520,264","529,602","499,063","-","-0.20%"
"Jan 29, 2021","520,016","507,179","577,144","486,155","-","2.45%"
"Jan 28, 2021","507,570","464,423","512,561","457,438","-","9.40%"
"Jan 27, 2021","463,978","489,269","489,698","448,210","-","-5.18%"
"Jan 26, 2021","489,331","490,222","500,507","465,468","-","-0.50%"
"Jan 25, 2021","491,809","488,102","529,834","485,975","-","0.73%"
"Jan 24, 2021","488,242","486,073","500,546","469,470","-","0.38%"
"Jan 23, 2021","486,376","499,947","506,463","475,899","-","-2.88%"
"Jan 22, 2021","500,793","461,403","511,764","433,116","-","8.47%"
"Jan 21, 2021","461,668","528,173","529,383","450,632","-","-12.63%"
"Jan 20, 2021","528,393","537,468","545,300","498,473","-","-2.10%"
"Jan 19, 2021","539,751","555,419","565,608","539,751","-","-2.75%"
"Jan 18, 2021","555,014","547,535","574,167","531,198","-","1.65%"
"Jan 17, 2021","545,988","548,626","560,388","516,167","-","-0.61%"
"Jan 16, 2021","549,365","559,715","577,527","539,084","-","-2.02%"
"Jan 15, 2021","560,690","591,595","599,620","526,517","-","-5.56%"
"Jan 14, 2021","593,713","570,783","606,312","561,181","-","4.08%"
"Jan 13, 2021","570,466","516,311","575,394","494,697","-","10.03%"
"Jan 12, 2021","518,448","549,387","566,940","501,555","-","-6.05%"
"Jan 11, 2021","551,842","584,744","584,744","472,892","-","-5.63%"
"Jan 10, 2021","584,748","613,267","632,120","539,400","-","-4.65%"
"Jan 09, 2021","613,287","620,728","632,346","593,658","-","-1.36%"
"Jan 08, 2021","621,749","610,379","640,429","565,841","-","2.32%"
"Jan 07, 2021","607,654","553,552","619,738","548,871","-","9.63%"
"Jan 06, 2021","554,272","509,080","555,189","500,442","-","9.29%"
"Jan 05, 2021","507,172","471,696","514,892","440,378","-","7.73%"
"Jan 04, 2021","470,760","483,766","490,090","411,969","-","-2.47%"
"Jan 03, 2021","482,665","471,773","509,296","469,067","-","2.33%"
"Jan 02, 2021","471,676","430,011","487,431","425,025","-","9.72%"
"Jan 01, 2021","429,910","423,973","433,881","420,339","-","1.24%"
"Dec 31, 2020","424,665","422,491","428,756","412,023","-","0.50%"
"Dec 30, 2020","422,531","403,066","423,847","401,928","-","4.82%"
"Dec 29, 2020","403,107","396,497","403,256","379,183","-","1.70%"
"Dec 28, 2020","396,350","384,762","400,468","382,627","-","3.14%"
"Dec 27, 2020","384,281","386,593","414,678","378,279","-","-0.61%"
"Dec 26, 2020","386,653","360,920","392,362","358,122","-","7.34%"
"Dec 25, 2020","360,226","346,952","362,013","342,269","-","3.76%"
"Dec 24, 2020","347,176","338,963","347,628","331,775","-","2.30%"
"Dec 23, 2020","339,356","349,665","353,217","331,649","-","-3.00%"
"Dec 22, 2020","349,847","331,904","349,847","327,453","-","5.37%"
"Dec 21, 2020","332,028","345,313","355,477","327,744","-","-4.00%"
"Dec 20, 2020","345,875","346,727","352,555","335,823","-","-0.31%"
"Dec 19, 2020","346,956","336,225","350,420","331,643","-","3.15%"
"Dec 18, 2020","336,372","334,393","341,218","325,841","-","0.73%"
"Dec 17, 2020","333,945","316,252","350,935","314,804","-","5.46%"
"Dec 16, 2020","316,643","289,220","318,923","287,313","-","9.48%"
"Dec 15, 2020","289,226","289,748","294,195","285,539","-","-0.13%"
"Dec 14, 2020","289,604","288,660","291,517","285,638","-","0.33%"
"Dec 13, 2020","288,644","284,062","293,019","282,666","-","1.75%"
"Dec 12, 2020","283,686","272,174","285,821","272,174","-","3.95%"
"Dec 11, 2020","272,907","274,564","274,764","265,889","-","-0.45%"
"Dec 10, 2020","274,151","277,591","277,652","269,491","-","-1.23%"
"Dec 09, 2020","277,565","274,143","279,058","264,205","-","0.95%"
"Dec 08, 2020","274,943","290,840","292,380","273,393","-","-5.46%"
"Dec 07, 2020","290,826","294,685","295,568","286,566","-","-1.29%"
"Dec 06, 2020","294,636","291,547","294,976","287,356","-","1.03%"
"Dec 05, 2020","291,638","284,110","291,980","281,849","-","2.65%"
"Dec 04, 2020","284,121","295,023","296,458","283,448","-","-3.73%"
